,,,,,,,,,,,利用開始月,2025-01,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-08
2003619,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-24,2031-04-23,良品計画様向け（東京有明様）,良品計画様向け（東京有明様）,,PCWL-0400,良品計画様向け（東京有明様）,,,,,,,,,,,,,-552,0,-552,0,,,552,0,,,,,,,,,,,,
2003619,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-24,2031-04-23,良品計画様向け（東京有明様）,良品計画様向け（東京有明様）,,PCWL-0400,良品計画様向け（東京有明様）,,,,,,,,,,,,,15341,23,15341,23,15341,23,0,0,15341,23,0,0,15341,23,0,0,15341,23,0,0
2003618,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-24,2031-04-23,良品計画様向け（Cafe＆Meal_MUJIイオンモール堺北花田様）,良品計画様向け（Cafe＆Meal_MUJIイオンモール堺北花田様）,,PCWL-0400,良品計画様向け（Cafe＆Meal_MUJIイオンモール堺北花田様）,,,,,,,,,,,,,-48,0,-48,0,,,48,0,,,,,,,,,,,,
2003618,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-24,2031-04-23,良品計画様向け（Cafe＆Meal_MUJIイオンモール堺北花田様）,良品計画様向け（Cafe＆Meal_MUJIイオンモール堺北花田様）,,PCWL-0400,良品計画様向け（Cafe＆Meal_MUJIイオンモール堺北花田様）,,,,,,,,,,,,,1334,2,1334,2,1334,2,0,0,1334,2,0,0,1334,2,0,0,1334,2,0,0
2003617,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-24,2031-04-23,良品計画様向け（ガーデンパーク和歌山様）,良品計画様向け（ガーデンパーク和歌山様）,スタンダード,PCWL-0400,良品計画様向け（ガーデンパーク和歌山様）,,,,,,,,,,,,,-96,0,-96,0,,,96,0,,,,,,,,,,,,
2003617,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-24,2031-04-23,良品計画様向け（ガーデンパーク和歌山様）,良品計画様向け（ガーデンパーク和歌山様）,スタンダード,PCWL-0400,良品計画様向け（ガーデンパーク和歌山様）,,,,,,,,,,,,,2668,4,2668,4,2668,4,0,0,2668,4,0,0,2668,4,0,0,2668,4,0,0
2003616,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-24,2031-04-23,良品計画様向け（新さっぽろサンピアザ様）,良品計画様向け（新さっぽろサンピアザ様）,スタンダード,PCWL-0400,良品計画様向け（新さっぽろサンピアザ様）,,,,,,,,,,,,,-96,0,-96,0,,,96,0,,,,,,,,,,,,
2003616,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-24,2031-04-23,良品計画様向け（新さっぽろサンピアザ様）,良品計画様向け（新さっぽろサンピアザ様）,スタンダード,PCWL-0400,良品計画様向け（新さっぽろサンピアザ様）,,,,,,,,,,,,,2668,4,2668,4,2668,4,0,0,2668,4,0,0,2668,4,0,0,2668,4,0,0
2003615,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-24,2031-04-23,良品計画様向け（イオンモール堺北花田様）,良品計画様向け（イオンモール堺北花田様）,,PCWL-0400,良品計画様向け（イオンモール堺北花田様）,,,,,,,,,,,,,-408,0,-408,0,,,408,0,,,,,,,,,,,,
2003615,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-24,2031-04-23,良品計画様向け（イオンモール堺北花田様）,良品計画様向け（イオンモール堺北花田様）,,PCWL-0400,良品計画様向け（イオンモール堺北花田様）,,,,,,,,,,,,,11339,17,11339,17,11339,17,0,0,11339,17,0,0,11339,17,0,0,11339,17,0,0
2003611,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-23,2031-04-22,良品計画様向け（デリエ・イデー様）,良品計画様向け（デリエ・イデー様）,,PCWL-0400,良品計画様向け（デリエ・イデー様）,,,,,,,,,,,,,-48,0,-48,0,,,48,0,,,,,,,,,,,,
2003611,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-23,2031-04-22,良品計画様向け（デリエ・イデー様）,良品計画様向け（デリエ・イデー様）,,PCWL-0400,良品計画様向け（デリエ・イデー様）,,,,,,,,,,,,,1334,2,1334,2,1334,2,0,0,1334,2,0,0,1334,2,0,0,1334,2,0,0
2003606,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PCWL-0530E-ID、PCWL-0530E-OD用,PCWL-0530E-ID、PCWL-0530E-OD用,ディスカウント,2025-05-28,2026-05-27,,,,,,,,,,,,,,,,,,,,,,-24,0,-24,0,,,24,0,,,,,,,,
2003606,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PCWL-0530E-ID、PCWL-0530E-OD用,PCWL-0530E-ID、PCWL-0530E-OD用,継続課金,2025-05-28,2026-05-27,,,,,,,,,,,,,,,,,,,,,,702,3,702,3,702,3,0,0,702,3,0,0,702,3,0,0
2003599,ネットチャート,保守,【5年-0510】保守＿PCWL0510_購入時_アダプターなし,継続課金,2025-06-01,2030-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,648,1,648,1,648,1,0,0,648,1,0,0
2003594-2,ネットチャート,0500オプション,セット（ノード設定、FW更新、スケジュール）,継続課金,2025-05-19,2026-05-18,,,,,,,,,,,,,,,,,,,,,,5500,10,5500,10,5500,10,0,0,5500,10,0,0,5500,10,0,0
2003590,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-16,2031-04-15,良品計画様向け（中野マルイ様）,良品計画様向け（中野マルイ様）,スタンダード,PCWL-0400,良品計画様向け（中野マルイ様）,,,,,,,,,,,,,-72,0,-72,0,,,72,0,,,,,,,,,,,,
2003590,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-16,2031-04-15,良品計画様向け（中野マルイ様）,良品計画様向け（中野マルイ様）,スタンダード,PCWL-0400,良品計画様向け（中野マルイ様）,,,,,,,,,,,,,2001,3,2001,3,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0
2003589,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-16,2031-04-15,良品計画様向け（たまプラーザテラス様）,良品計画様向け（たまプラーザテラス様）,スタンダード,PCWL-0400,良品計画様向け（たまプラーザテラス様）,,,,,,,,,,,,,-72,0,-72,0,,,72,0,,,,,,,,,,,,
2003589,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-16,2031-04-15,良品計画様向け（たまプラーザテラス様）,良品計画様向け（たまプラーザテラス様）,スタンダード,PCWL-0400,良品計画様向け（たまプラーザテラス様）,,,,,,,,,,,,,2001,3,2001,3,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0
2003588,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-16,2031-04-15,良品計画様向け（イオンモール浦和美園様）,良品計画様向け（イオンモール浦和美園様）,スタンダード,PCWL-0400,良品計画様向け（イオンモール浦和美園様）,,,,,,,,,,,,,-72,0,-72,0,,,72,0,,,,,,,,,,,,
2003588,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-16,2031-04-15,良品計画様向け（イオンモール浦和美園様）,良品計画様向け（イオンモール浦和美園様）,スタンダード,PCWL-0400,良品計画様向け（イオンモール浦和美園様）,,,,,,,,,,,,,2001,3,2001,3,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0
2003587,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-16,2031-04-15,良品計画様向け（東急プラザ 戸塚様）,良品計画様向け（東急プラザ 戸塚様）,スタンダード,PCWL-0400,良品計画様向け（東急プラザ 戸塚様）,,,,,,,,,,,,,-72,0,-72,0,,,72,0,,,,,,,,,,,,
2003587,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-16,2031-04-15,良品計画様向け（東急プラザ 戸塚様）,良品計画様向け（東急プラザ 戸塚様）,スタンダード,PCWL-0400,良品計画様向け（東急プラザ 戸塚様）,,,,,,,,,,,,,2001,3,2001,3,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0
2003586,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-16,2031-04-15,良品計画様向け（ららぽーと新三郷様）,良品計画様向け（ららぽーと新三郷様）,,PCWL-0400,良品計画様向け（ららぽーと新三郷様）,,,,,,,,,,,,,-120,0,-120,0,,,120,0,,,,,,,,,,,,
2003586,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-16,2031-04-15,良品計画様向け（ららぽーと新三郷様）,良品計画様向け（ららぽーと新三郷様）,,PCWL-0400,良品計画様向け（ららぽーと新三郷様）,,,,,,,,,,,,,3335,5,3335,5,3335,5,0,0,3335,5,0,0,3335,5,0,0,3335,5,0,0
2003583,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-11,2031-04-10,良品計画様向け（大崎 (AP004～006の3台)様）,良品計画様向け（大崎 (AP004～006の3台)様）,スタンダード,PCWL-0400,良品計画様向け（大崎 (AP004～006の3台)様）,,,,,,,,,,,,,-72,0,-72,0,,,72,0,,,,,,,,,,,,
2003583,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-11,2031-04-10,良品計画様向け（大崎 (AP004～006の3台)様）,良品計画様向け（大崎 (AP004～006の3台)様）,スタンダード,PCWL-0400,良品計画様向け（大崎 (AP004～006の3台)様）,,,,,,,,,,,,,2001,3,2001,3,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0
2003582,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-04-11,2031-04-10,良品計画様向け（コープさっぽろのっぽろ様）,良品計画様向け（コープさっぽろのっぽろ様）,,PCWL-0400,良品計画様向け（コープさっぽろのっぽろ様）,,,,,,,,,,,,,-144,0,-144,0,,,144,0,,,,,,,,,,,,
2003582,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-04-11,2031-04-10,良品計画様向け（コープさっぽろのっぽろ様）,良品計画様向け（コープさっぽろのっぽろ様）,,PCWL-0400,良品計画様向け（コープさっぽろのっぽろ様）,,,,,,,,,,,,,4002,6,4002,6,4002,6,0,0,4002,6,0,0,4002,6,0,0,4002,6,0,0
2003580,エクシオグループ株式会社,保守,【1年-0530E】保守＿PCWL0530E_購入時_アダプター込,ディスカウント,2025-03-28,2026-03-27,,,,,,,,,,,,,,-56,0,-56,0,,,56,0,,,,,,,,,,,,,,,,
2003580,エクシオグループ株式会社,保守,【1年-0530E】保守＿PCWL0530E_購入時_アダプター込,継続課金,2025-03-28,2026-03-27,,,,,,,,,,,,,,2338,7,2338,7,2338,7,0,0,2338,7,0,0,2338,7,0,0,2338,7,0,0,2338,7,0,0
2003580,エクシオグループ株式会社,保守,【1年-0510】保守＿PCWL0510_購入時_アダプターなし,ディスカウント,2025-03-28,2026-03-27,,,,,,,,,,,,,,-16,0,-16,0,,,16,0,,,,,,,,,,,,,,,,
2003580,エクシオグループ株式会社,保守,【1年-0510】保守＿PCWL0510_購入時_アダプターなし,継続課金,2025-03-28,2026-03-27,,,,,,,,,,,,,,1628,2,1628,2,1628,2,0,0,1628,2,0,0,1628,2,0,0,1628,2,0,0,1628,2,0,0
2003579-1,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,ディスカウント,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,0,-40,0,,,40,0
2003579-1,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,継続課金,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,2,870,2,870,2,0,0
2003579-1,ネットチャート,0500オプション,ノード設定、FW更新,継続課金,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,2,900,2,900,2,0,0
2003578-2,ネットチャート,保守,【5年-0530E】保守＿PCWL0530E-ID_購入時_アダプターなし,継続課金,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,1,240,1,240,1,0,0
2003578-2,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,ディスカウント,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,0,-80,0,,,80,0
2003578-2,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,継続課金,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,4,1740,4,1740,4,0,0
2003578-2,ネットチャート,PCWL-0530E-ID、PCWL-0530E-OD用,PCWL-0530E-ID、PCWL-0530E-OD用,ディスカウント,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,0,-40,0,,,40,0
2003578-2,ネットチャート,PCWL-0530E-ID、PCWL-0530E-OD用,PCWL-0530E-ID、PCWL-0530E-OD用,継続課金,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,5,1170,5,1170,5,0,0
2003578-2,ネットチャート,0500オプション,ノード設定、FW更新,継続課金,2025-07-01,2030-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,5,2250,5,2250,5,0,0
2003576,加賀電子株式会社,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,ディスカウント,2025-04-14,2030-04-13,,,,,,,,,,,,,,,,,,-60,0,-60,0,,,60,0,,,,,,,,,,,,
2003576,加賀電子株式会社,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,継続課金,2025-04-14,2030-04-13,,,,,,,,,,,,,,,,,,1305,3,1305,3,1305,3,0,0,1305,3,0,0,1305,3,0,0,1305,3,0,0
2003575,ミハル通信株式会社,PicoManager,PM＿デモ機用エンタープライズ,ディスカウント,2025-05-01,2026-04-30,,,,,,,,,,,,,,,,,,,,,,-8,0,-8,0,,,8,0,,,,,,,,
2003575,ミハル通信株式会社,PicoManager,PM＿デモ機用エンタープライズ,継続課金,2025-05-01,2026-04-30,,,,,,,,,,,,,,,,,,,,,,1834,2,1834,2,1834,2,0,0,1834,2,0,0,1834,2,0,0
2003573-1,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PCWL-0530E-ID、PCWL-0530E-OD用,PCWL-0530E-ID、PCWL-0530E-OD用,ディスカウント,2025-06-06,2026-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,-8,0,-8,0,,,8,0,,,,
2003573-1,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PCWL-0530E-ID、PCWL-0530E-OD用,PCWL-0530E-ID、PCWL-0530E-OD用,継続課金,2025-06-06,2026-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,234,1,234,1,234,1,0,0,234,1,0,0
2003573-1,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,0500オプション,セット（ノード設定、FW更新、スケジュール）,継続課金,2025-06-06,2026-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,550,1,550,1,550,1,0,0,550,1,0,0
2003572,ネットチャート,保守,【5年-0510】保守＿PCWL0510_購入時_アダプター込,ディスカウント,2025-05-01,2030-04-30,,,,,,,,,,,,,,,,,,,,,,-40,0,-40,0,,,40,0,,,,,,,,
2003572,ネットチャート,保守,【5年-0510】保守＿PCWL0510_購入時_アダプター込,継続課金,2025-05-01,2030-04-30,,,,,,,,,,,,,,,,,,,,,,2090,2,2090,2,2090,2,0,0,2090,2,0,0,2090,2,0,0
2003572,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプター込,ディスカウント,2025-05-01,2030-04-30,,,,,,,,,,,,,,,,,,,,,,-680,0,-680,0,,,680,0,,,,,,,,
2003572,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプター込,継続課金,2025-05-01,2030-04-30,,,,,,,,,,,,,,,,,,,,,,20570,34,20570,34,20570,34,0,0,20570,34,0,0,20570,34,0,0
2003571,ネットチャート,0500オプション,セット（ノード設定、FW更新、スケジュール）,継続課金,2025-05-01,2030-04-30,,,,,,,,,,,,,,,,,,,,,,19800,36,19800,36,19800,36,0,0,19800,36,0,0,19800,36,0,0
2003569,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【1年】PM_エンタープライズ,ディスカウント,2025-06-01,2026-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,-128,0,-128,0,,,128,0,,,,
2003569,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【1年】PM_エンタープライズ,継続課金,2025-06-01,2026-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,40544,32,40544,32,40544,32,0,0,40544,32,0,0
2003568-2,ネットチャート,保守,【5年-0510】保守＿PCWL0510_購入時_アダプターなし,継続課金,2025-06-01,2030-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,5832,9,5832,9,5832,9,0,0,5832,9,0,0
2003568-2,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,ディスカウント,2025-06-01,2030-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,-80,0,-80,0,,,80,0,,,,
2003568-2,ネットチャート,保守,【5年-0500】保守＿PCWL0500_購入時_アダプターなし,継続課金,2025-06-01,2030-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,1740,4,1740,4,1740,4,0,0,1740,4,0,0
2003568-2,ネットチャート,0500オプション,ノード設定、FW更新,継続課金,2025-06-01,2030-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,5850,13,5850,13,5850,13,0,0,5850,13,0,0
2003558,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-03-27,2031-03-25,良品計画様向け（イオンモール名取様）,良品計画様向け（イオンモール名取様）,スタンダード,PCWL-0400,良品計画様向け（イオンモール名取様）,,,,,,,,,-72,0,-72,0,,,72,0,,,,,,,,,,,,,,,,
2003558,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-03-27,2031-03-25,良品計画様向け（イオンモール名取様）,良品計画様向け（イオンモール名取様）,スタンダード,PCWL-0400,良品計画様向け（イオンモール名取様）,,,,,,,,,2001,3,2001,3,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0
2003557,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-03-27,2031-03-25,良品計画様向け（飯田アップルロード様）,良品計画様向け（飯田アップルロード様）,,PCWL-0400,良品計画様向け（飯田アップルロード様）,,,,,,,,,-120,0,-120,0,,,120,0,,,,,,,,,,,,,,,,
2003557,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-03-27,2031-03-25,良品計画様向け（飯田アップルロード様）,良品計画様向け（飯田アップルロード様）,,PCWL-0400,良品計画様向け（飯田アップルロード様）,,,,,,,,,3335,5,3335,5,3335,5,0,0,3335,5,0,0,3335,5,0,0,3335,5,0,0,3335,5,0,0
2003556,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-03-27,2031-03-25,良品計画様向け（大崎様）,良品計画様向け（大崎様）,スタンダード,PCWL-0400,良品計画様向け（大崎様）,,,,,,,,,-72,0,-72,0,,,72,0,,,,,,,,,,,,,,,,
2003556,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-03-27,2031-03-25,良品計画様向け（大崎様）,良品計画様向け（大崎様）,スタンダード,PCWL-0400,良品計画様向け（大崎様）,,,,,,,,,2001,3,2001,3,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0,2001,3,0,0
2003552,加賀ＦＥＩ株式会社,0500オプション,セット（ノード設定、FW更新、スケジュール）,継続課金,2025-04-06,2026-04-05,,,,,,,,,,,,,,,,,,14300,26,14300,26,14300,26,0,0,14300,26,0,0,14300,26,0,0,14300,26,0,0
2003551,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【1年】PM_エンタープライズ,継続課金,2025-04-01,2026-03-31,,,,,,,,,,,,,,,,,,10800,8,10800,8,10800,8,0,0,10800,8,0,0,10800,8,0,0,10800,8,0,0
2003550,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-03-27,2031-03-26,良品計画様向け（フレスポ国分様）,良品計画様向け（フレスポ国分様）,スタンダード,PCWL-0400,良品計画様向け（フレスポ国分様）,,,,,,,,,-96,0,-96,0,,,96,0,,,,,,,,,,,,,,,,
2003550,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-03-27,2031-03-26,良品計画様向け（フレスポ国分様）,良品計画様向け（フレスポ国分様）,スタンダード,PCWL-0400,良品計画様向け（フレスポ国分様）,,,,,,,,,2668,4,2668,4,2668,4,0,0,2668,4,0,0,2668,4,0,0,2668,4,0,0,2668,4,0,0
2003549,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-03-27,2031-03-26,良品計画様向け（富山大広田様）,良品計画様向け（富山大広田様）,,PCWL-0400,良品計画様向け（富山大広田様）,,,,,,,,,-144,0,-144,0,,,144,0,,,,,,,,,,,,,,,,
2003549,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-03-27,2031-03-26,良品計画様向け（富山大広田様）,良品計画様向け（富山大広田様）,,PCWL-0400,良品計画様向け（富山大広田様）,,,,,,,,,4002,6,4002,6,4002,6,0,0,4002,6,0,0,4002,6,0,0,4002,6,0,0,4002,6,0,0
2003548,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,ディスカウント,2025-03-27,2031-03-26,良品計画様向け（イオンモール盛岡南様）,良品計画様向け（イオンモール盛岡南様）,,PCWL-0400,良品計画様向け（イオンモール盛岡南様）,,,,,,,,,-168,0,-168,0,,,168,0,,,,,,,,,,,,,,,,
2003548,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【6年】PM_スタンダード,継続課金,2025-03-27,2031-03-26,良品計画様向け（イオンモール盛岡南様）,良品計画様向け（イオンモール盛岡南様）,,PCWL-0400,良品計画様向け（イオンモール盛岡南様）,,,,,,,,,4669,7,4669,7,4669,7,0,0,4669,7,0,0,4669,7,0,0,4669,7,0,0,4669,7,0,0
2003544,エクシオグループ株式会社,PicoManager,【1年】PM_スタンダード,継続課金,2025-06-29,2026-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,12240,17,12240,17,12240,17,0,0,12240,17,0,0
2003543,エクシオグループ株式会社,0500オプション,セット（ノード設定、FW更新、スケジュール）,継続課金,2025-06-07,2026-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,6600,12,6600,12,6600,12,0,0,6600,12,0,0
2003542,エクシオグループ株式会社,PicoManager,【1年】PM_スタンダード,継続課金,2025-04-13,2026-04-12,,,,,,,,,,,,,,,,,,2880,4,2880,4,2880,4,0,0,2880,4,0,0,2880,4,0,0,2880,4,0,0
2003540,ＳＣＳＫ　Ｍｉｎｏｒｉソリューションズ株式会社,PicoManager,【1年】PM_スタンダード,継続課金,2025-04-01,2026-03-31,,,,,,,,,,,,,,,,,,2160,3,2160,3,2160,3,0,0,2160,3,0,0,2160,3,0,0,2160,3,0,0
2003534,加賀電子株式会社,PicoManager,【1年】PM_スタンダード,継続課金,2025-04-01,2026-03-31,,,,,,,,,,,,,,,,,,16560,23,16560,23,16560,23,0,0,16560,23,0,0,16560,23,0,0,16560,23,0,0
2003534,加賀電子株式会社,PicoManager,【1年】PM_スタンダード,継続課金,2025-04-01,2026-03-31,,,,,,,,,,,,,,,,,,8640,12,8640,12,8640,12,0,0,8640,12,0,0,8640,12,0,0,8640,12,0,0
2003531,エクシオグループ株式会社,0500オプション,販売店デモ用(全ての機能込み),継続課金,2025-04-01,2026-03-31,,,,,,,,,,,,,,,,,,2700,3,2700,3,2700,3,0,0,2700,3,0,0,2700,3,0,0,2700,3,0,0
2003531,エクシオグループ株式会社,0500オプション,販売店デモ用(全ての機能込み),ディスカウント,2025-04-01,2026-03-31,,,,,,,,,,,,,,,,,,-16,0,-16,0,,,16,0,,,,,,,,,,,,
2003531,エクシオグループ株式会社,0500オプション,販売店デモ用(全ての機能込み),継続課金,2025-04-01,2026-03-31,,,,,,,,,,,,,,,,,,3668,4,3668,4,3668,4,0,0,3668,4,0,0,3668,4,0,0,3668,4,0,0
2003530,エクシオグループ株式会社,保守,保守＿PCWL0400,ディスカウント,2025-04-01,2027-03-31,,,,,,,,,,,,,,,,,,-24,0,-24,0,,,24,0,,,,,,,,,,,,
2003530,エクシオグループ株式会社,保守,保守＿PCWL0400,継続課金,2025-04-01,2027-03-31,,,,,,,,,,,,,,,,,,4126,2,4126,2,4126,2,0,0,4126,2,0,0,4126,2,0,0,4126,2,0,0
2003530,エクシオグループ株式会社,PicoManager,【1年】PM_エンタープライズ,継続課金,2025-04-01,2027-03-31,,,,,,,,,,,,,,,,,,2700,2,2700,2,2700,2,0,0,2700,2,0,0,2700,2,0,0,2700,2,0,0
2003529-2,ネットチャート,PCWL-0530E-ID、PCWL-0530E-OD用,PCWL-0530E-ID、PCWL-0530E-OD用,ディスカウント,2025-04-25,2030-04-24,,,,,,,,,,,,,,,,,,-160,0,-160,0,,,160,0,,,,,,,,,,,,
